Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
1695	0	0	0	0	Both_failed	0	0	0	0
1696	0	0	0	0	Both_failed	0	0	0	0
1697	0	0	0	0	Both_failed	0	0	0	0
1698	0	0	0	0	Both_failed	0	0	0	0
1699	0	0	5	5		0.8288,0.7029,0.7658;0.8288,0.6717,0.7502;0.8288,0.6149,0.7218;0.8288,0.7522,0.7905;0.8288,0.5233,0.676	0.7029,0.8288,0.7658;0.8288,0.6717,0.7502;0.8288,0.6149,0.7218;0.8288,0.7522,0.7905;0.8288,0.5233,0.676	0.7978,0.7014,0.7496;0.7978,0.6756,0.7367;0.7978,0.6454,0.7216;0.7978,0.73,0.7639;0.7978,0.535,0.6664	0.7014,0.7978,0.7496;0.7978,0.6756,0.7367;0.7978,0.6454,0.7216;0.7978,0.73,0.7639;0.7978,0.535,0.6664
1700	0	0	1	1		0.7454,0.4518,0.427,0.5414	0.427,0.7454,0.4518,0.5414	0.7446,0.45,0.4918,0.5621	0.4918,0.7446,0.45,0.5621
1701	0	0	1	1		0.7057,0.2551,0.4804	0.2551,0.7057,0.4804	0.673,0.3318,0.5024	0.3318,0.673,0.5024
1702	0	0	1	1		0.8808,0.4124,0.6466	0.4124,0.8808,0.6466	0.8442,0.4662,0.6552	0.4662,0.8442,0.6552
1703	0	0	0	0	Both_failed	0	0	0	0
1704	0	0	2	2		0.6717,0.5141,0.6717,0.6192;0.6717,0.5141,0.5901,0.592	0.6717,0.6717,0.5141,0.6192;0.6717,0.5141,0.5901,0.592	0.6756,0.5862,0.6756,0.6458;0.6756,0.5862,0.6102,0.624	0.6756,0.6756,0.5862,0.6458;0.6756,0.5862,0.6102,0.624
1705	0	0	1	1		0.7057,0.7029,0.7043	0.7057,0.7029,0.7043	0.673,0.7014,0.6872	0.673,0.7014,0.6872
1706	0	0	0	0	Both_failed	0	0	0	0
1707	0	0	2	2		0.4951,0.5901,0.4124,0.4992;0.4951,0.5901,0.427,0.5041	0.4124,0.5901,0.4951,0.4992;0.5901,0.427,0.4951,0.5041	0.5632,0.6102,0.4662,0.5465;0.5632,0.6102,0.4918,0.5551	0.4662,0.6102,0.5632,0.5465;0.6102,0.4918,0.5632,0.5551
1708	0	0	0	0	Both_failed	0	0	0	0
1709	0	0	0	0	Both_failed	0	0	0	0
1710	0	0	1	1		0.6717,0.8808,0.2995,0.6173	0.6717,0.2995,0.8808,0.6173	0.6756,0.8442,0.3142,0.6113	0.6756,0.3142,0.8442,0.6113
1711	0	0	1	1		0.5616,0.4124,0.487	0.5616,0.4124,0.487	0.5958,0.4662,0.531	0.5958,0.4662,0.531
1712	0	0	0	0	Both_failed	0	0	0	0
1713	0	0	0	0	Both_failed	0	0	0	0
1714	0	0	0	0	Both_failed	0	0	0	0
1715	0	0	1	1		0.7057,0.5616,0.6337	0.5616,0.7057,0.6337	0.673,0.5958,0.6344	0.5958,0.673,0.6344
1716	0	0	4	8	Exhaus	0.7454,0.4527,0.6717,0.6233;0.7454,0.4527,0.5141,0.5707;0.7454,0.4527,0.6501,0.6161;0.7454,0.4527,0.4951,0.5644	0.6717,0.4527,0.7454,0.6233;0.5141,0.6501,0.4527,0.539;0.5141,0.6501,0.4951,0.5531;0.5141,0.4527,0.7454,0.5707;0.6501,0.4527,0.7454,0.6161;0.6501,0.4527,0.4951,0.5326;0.6501,0.7454,0.4951,0.6302;0.4527,0.7454,0.4951,0.5644	0.7446,0.4992,0.6756,0.6398;0.7446,0.4992,0.5862,0.61;0.7446,0.4992,0.642,0.6286;0.7446,0.4992,0.5632,0.6023	0.6756,0.4992,0.7446,0.6398;0.5862,0.642,0.4992,0.5758;0.5862,0.642,0.5632,0.5971;0.5862,0.4992,0.7446,0.61;0.642,0.4992,0.7446,0.6286;0.642,0.4992,0.5632,0.5681;0.642,0.7446,0.5632,0.6499;0.4992,0.7446,0.5632,0.6023
1717	0	0	0	0	Both_failed	0	0	0	0
1718	0	0	0	0	Both_failed	0	0	0	0
1719	0	0	0	0	Both_failed	0	0	0	0
1720	0	0	0	0	Both_failed	0	0	0	0
1721	0	0	0	0	Both_failed	0	0	0	0
1722	0	0	1	1		0.7522,0.4951,0.6236	0.4951,0.7522,0.6236	0.73,0.5632,0.6466	0.5632,0.73,0.6466
1723	0	0	0	0	Both_failed	0	0	0	0
1724	0	0	0	0	Both_failed	0	0	0	0
1725	0	0	0	0	Both_failed	0	0	0	0
1726	0	0	0	0	Both_failed	0	0	0	0
1727	0	0	0	0	Both_failed	0	0	0	0
1728	0	0	0	0	Both_failed	0	0	0	0
1729	0	0	2	2		0.8808,0.2995,0.5901;0.8808,0.5535,0.7171	0.8808,0.2995,0.5901;0.8808,0.5535,0.7171	0.8442,0.3142,0.5792;0.8442,0.5812,0.7127	0.8442,0.3142,0.5792;0.8442,0.5812,0.7127
1730	0	0	0	0	Both_failed	0	0	0	0
1731	0	0	0	0	Both_failed	0	0	0	0
1732	0	0	0	0	Both_failed	0	0	0	0
1733	0	0	0	0	Both_failed	0	0	0	0
1734	0	0	1	1		0.7057,0.4951,0.6004	0.7057,0.4951,0.6004	0.673,0.5632,0.6181	0.673,0.5632,0.6181
1735	0	0	0	0	Both_failed	0	0	0	0
1736	0	0	0	0	Both_failed	0	0	0	0
1737	0	0	0	0	Both_failed	0	0	0	0
1738	0	0	1	1		0.6717,0.7522,0.5901,0.6713	0.7522,0.6717,0.5901,0.6713	0.6756,0.73,0.6102,0.6719	0.73,0.6756,0.6102,0.6719
1739	0	0	0	0	Both_failed	0	0	0	0
1740	0	0	0	0	Both_failed	0	0	0	0
1741	0	0	0	0	Both_failed	0	0	0	0
1742	0	0	0	0	Both_failed	0	0	0	0
1743	0	0	0	0	Both_failed	0	0	0	0
1744	0	0	0	0	Both_failed	0	0	0	0
1745	0	0	0	0	Both_failed	0	0	0	0
1746	0	0	0	0	Both_failed	0	0	0	0
1747	0	0	0	0	Both_failed	0	0	0	0
1748	0	0	0	0	Both_failed	0	0	0	0
1749	0	0	4	4		0.8808,0.2995,0.5901;0.8808,0.5233,0.7021;0.8808,0.4518,0.6663;0.8808,0.4124,0.6466	0.2995,0.8808,0.5901;0.5233,0.8808,0.7021;0.4518,0.8808,0.6663;0.4124,0.8808,0.6466	0.8442,0.3142,0.5792;0.8442,0.535,0.6896;0.8442,0.45,0.6471;0.8442,0.4662,0.6552	0.3142,0.8442,0.5792;0.535,0.8442,0.6896;0.45,0.8442,0.6471;0.4662,0.8442,0.6552
1750	0	0	2	2		0.4124,0.6149,0.427,0.4848;0.4124,0.6149,0.8808,0.636	0.6149,0.427,0.4124,0.4848;0.6149,0.4124,0.8808,0.636	0.4662,0.6454,0.4918,0.5345;0.4662,0.6454,0.8442,0.6519	0.6454,0.4918,0.4662,0.5345;0.6454,0.4662,0.8442,0.6519
1751	0	0	0	0	Both_failed	0	0	0	0
1752	0	0	0	0	Both_failed	0	0	0	0
