IDX	Exhaus	First	Statistic
943	3	4	PIC
944	2	2	PIC
945	2	3	PIC
946	3	4	PIC
947	3	4	PIC
948	2	2	PIC
949	3	8	PIC
950	2	3	PIC
951	3	6	PIC
952	2	5	PIC
953	3	3	PIC
954	3	7	PIC
955	3	4	PIC
956	4	7	PIC
957	3	9	PIC
958	3	7	PIC
959	3	4	PIC
960	2	2	PIC
961	3	5	PIC
962	2	2	PIC
963	2	4	PIC
964	3	3	PIC
965	2	2	PIC
966	2	2	PIC
967	2	3	PIC
968	4	5	PIC
969	2	2	PIC
970	2	2	PIC
971	3	4	PIC
972	3	6	PIC
973	2	9	PIC
974	2	2	PIC
975	2	6	PIC
976	3	7	PIC
977	3	3	PIC
978	4	8	PIC
979	3	3	PIC
980	3	4	PIC
981	3	9	PIC
982	3	6	PIC
983	2	5	PIC
984	3	9	PIC
985	3	9	PIC
986	3	9	PIC
987	3	8	PIC
988	3	3	PIC
989	2	4	PIC
990	3	5	PIC
991	3	3	PIC
992	2	2	PIC
993	3	5	PIC
994	3	7	PIC
995	3	4	PIC
996	3	5	PIC
997	2	2	PIC
998	2	5	PIC
999	3	8	PIC
1000	2	4	PIC
1001	2	2	PIC
1002	3	6	PIC
1003	2	2	PIC
1004	3	5	PIC
1005	3	8	PIC
1006	3	6	PIC
1007	3	5	PIC
1008	3	5	PIC
1009	2	2	PIC
1010	2	8	PIC
1011	2	5	PIC
1012	3	7	PIC
1013	3	5	PIC
1014	3	6	PIC
1015	4	7	PIC
1016	4	6	PIC
1017	4	8	PIC
1018	2	2	PIC
1019	3	8	PIC
1020	2	5	PIC
1021	4	7	PIC
1022	2	4	PIC
1023	3	6	PIC
1024	3	3	PIC
1025	2	7	PIC
